molecular_weight,num_atoms,num_bonds,num_rings,formal_charge,cid,smiles
221.16483971209,37,37,1,1,5014,[H]c1c([H])c(C([H])([H])[H])c(N([H])C(=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c(C([H])([H])[H])c1[H]
261.20926448400013,46,46,1,0,5015,[H]c1c([H])c(C([H])([H])[H])c(N([H])C(=O)C([H])([H])C(C([H])([H])C([H])([H])[H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c(C([H])([H])[H])c1[H]
373.06774098000056,43,45,3,0,5016,[H]Oc1c([H])c2c(c(Br)c1O[H])C([H])([H])C([H])([H])N(C([H])([H])C([H])=C([H])[H])C([H])([H])[C@]2([H])c1c([H])c([H])c([H])c([H])c1[H]
398.1051646080007,50,52,3,0,5017,[H]OC(=O)C([H])([H])Oc1c([H])c2c(c(Cl)c1Cl)C(=O)[C@@](C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])(C1([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C2([H])[H]
287.1076918760005,38,40,3,0,5018,[H]Oc1c([H])c2c(c([H])c1Cl)C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[C@]2([H])c1c([H])c([H])c([H])c([H])c1[H]
311.1521435320006,44,47,4,0,5019,[H]Oc1c([H])c2c3c(c1[H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])[H])[C@]3([H])C([H])([H])c1c([H])c([H])c(O[H])c(O[H])c1-2
283.1208434040005,38,41,4,0,5020,[H]Oc1c([H])c2c3c(c1[H])C([H])([H])C([H])([H])N(C([H])([H])[H])[C@@]3([H])C([H])([H])c1c([H])c([H])c(O[H])c(O[H])c1-2
281.14157884800056,40,43,4,0,5021,[H]Oc1c(OC([H])([H])[H])c([H])c([H])c2c1-c1c([H])c([H])c([H])c3c1[C@@]([H])(N(C([H])([H])[H])C([H])([H])C3([H])[H])C2([H])[H]
385.1750042160006,51,54,4,0,5022,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[C@]([H])(C([H])([H])[H])C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H]
253.11027872,34,37,4,0,5023,[H]Oc1c([H])c([H])c2c(c1O[H])-c1c([H])c([H])c([H])c3c1[C@]([H])(N([H])C([H])([H])C3([H])[H])C2([H])[H]
297.1728789760007,45,47,3,0,5024,[H]c1c([H])c([H])c([C@]2([H])c3c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c3C([H])([H])C([H])([H])N(C([H])([H])[H])C2([H])[H])c([H])c1[H]
